price,surface,rooms,quartier,year_built,balcony,parking
250000,45,2,Marais,2015,1,0
180000,35,1,Belleville,2010,0,0
420000,75,3,Saint-Germain,2018,1,1
320000,60,2,Bastille,2012,1,0
550000,95,4,Champs-Elysees,2020,1,1
210000,50,2,Nation,2008,0,1
380000,70,3,Montparnasse,2016,1,0
290000,55,2,R̩publique,2014,0,0
470000,85,3,Opera,2019,1,1
195000,40,1,Oberkampf,2011,1,0
340000,65,3,Invalides,2013,0,1
280000,52,2,Pigalle,2017,1,0
510000,90,4,Trocadero,2021,1,1
230000,48,2,Chatelet,2009,0,0
400000,72,3,Luxembourg,2015,1,1
260000,50,2,Voltaire,2012,1,0
350000,68,3,Etoile,2018,0,1
310000,58,2,Louvre,2016,1,0
440000,80,3,Madeleine,2020,1,1
220000,42,1,Strasbourg,2010,0,0
370000,69,3,Concorde,2014,1,1
300000,56,2,Odeon,2011,0,0
480000,88,4,Alma,2019,1,1
240000,46,2,Temple,2013,1,0
390000,74,3,Palais-Royal,2017,1,1
270000,51,2,Gare-de-Lyon,2015,0,1
460000,82,3,Georges-V,2021,1,1
200000,38,1,Menilmontant,2008,0,0
410000,76,3,Monceau,2016,1,1
330000,62,2,Bourse,2012,1,0
